序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SC70308169,技優甄審,技優生,商業類,247,台北縣私立穀保家商,資料處理科
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S59DE9A51F,甄選入學,甄選一般生,商管群,814,高雄市市立海青工商,資料處理科
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S04B142AB1,甄選入學,甄選一般生,餐旅群,434,台中縣私立僑泰高中,餐飲管理科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S4D0954805,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S518FC52BD,甄選入學,甄選一般生,餐旅群,212,連江縣國立馬祖高中,綜合高中部
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S78529FD06,聯合登記分發,聯登一般生,商管群,428,台中市國立台中高工,機械科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S491E7D55A,聯合登記分發,聯登一般生,商管群,502,南投縣國立草屯商工,商業經營科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S12ABEE024,聯合登記分發,聯登一般生,商管群,710,臺南市國立新化高工,資料處理科
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S0F534CC4A,聯合登記分發,聯登一般生,外語群英語類,303,新北市立光復高級中學,應用英語科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SD275ED347,聯合登記分發,聯登一般生,外語群英語類,406,臺中市私立新民高中,應用英語科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S488848EA4,聯合登記分發,聯登一般生,外語群英語類,710,國立台南高級商業職業學校,資料處理科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S871A85C83,聯合登記分發,聯登一般生,餐旅群,403,台中市國立台中高農,餐飲技術科
13,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S47CF1E366,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,普通科
14,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SF2A22EF4B,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,普通科
15,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S092CA8C2B,特殊選才,特選-扎根計畫,不分類別,880,澎湖縣國立馬公高中,觀光事業科
16,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S89CC87510,特殊選才,特選-扎根計畫,不分類別,885,澎湖縣國立澎湖海事高職,餐飲管理科
17,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S8A1FD6A15,特殊選才,特選-扎根計畫,不分類別,885,澎湖縣國立澎湖海事高職,餐飲管理科
18,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SEBE768887,繁星推甄,繁星生,餐旅群,900,高雄縣私立中山工商,餐飲技術科
19,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S47D14F1D1,繁星推甄,繁星生,餐旅群,423,臺中市葳格高級中學,餐飲管理科
20,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SE290FECB3,繁星推甄,繁星生,餐旅群,437,苗栗縣私立龍德家商,烘焙食品科
21,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SA9F7D2E99,技優甄審,技優生,餐旅類,242,台北縣私立樹人家商,餐飲管理科
22,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SBEA36FFDB,技優甄審,技優生,餐旅類,842,高雄縣私立中山工商,餐飲技術科
23,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S5C1144111,甄選入學,甄選一般生,餐旅群,412,台中縣私立大明高中,餐飲管理科
24,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SD3524F0CD,甄選入學,甄選一般生,餐旅群,412,台中縣私立僑泰高中,餐飲管理科
25,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SEB5750A1A,甄選入學,甄選一般生,餐旅群,402,台中縣私立僑泰高中,餐飲管理科
26,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SF5A26A6DD,甄選入學,甄選一般生,餐旅群,411,台中縣私立大明高中,餐飲管理科
27,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S44C105586,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立馬公高中,觀光事業科
28,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S04DD03607,甄選入學,甄選一般生,餐旅群,884,澎湖縣國立馬公高中,觀光事業科
29,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SFE6B26984,甄選入學,甄選中低/低收入戶生,餐旅群,402,臺中市明德高級中學,餐飲管理科
30,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S964A735ED,甄選入學,甄選一般生,餐旅群,402,臺中市明德高級中學,餐飲管理科
31,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S9C8F869CC,甄選入學,甄選離島生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
32,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S1044216B7,甄選入學,甄選離島生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
33,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S66FCBFA64,甄選入學,甄選離島生,餐旅群,885,澎湖縣國立澎湖海事高職,餐飲管理科
34,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S5C2CF9E8D,甄選入學,甄選離島生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
35,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SEA7838BD0,甄選入學,甄選一般生,餐旅群,326,桃園縣私立育達高中,餐飲管理科
36,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S9F4CB252E,甄選入學,甄選原住民生,餐旅群,324,桃園縣私立育達高中,餐飲技術科
37,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SA83D5D29D,甄選入學,甄選一般生,餐旅群,335,桃園縣私立永平工商,餐飲管理科
38,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S72C960BED,聯合登記分發,聯登一般生,餐旅群,104,台北市市立士林高商,資料處理科
39,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S4702D6E91,聯合登記分發,聯登一般生,餐旅群,236,新北市立新北高工,應用英語科
40,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SA5F907A4E,聯合登記分發,聯登一般生,餐旅群,326,桃園縣私立永平工商,餐飲管理科
41,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SA357C6A4B,聯合登記分發,聯登一般生,餐旅群,330,桃園縣私立永平工商,餐飲管理科
42,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S20F5E5723,聯合登記分發,聯登一般生,餐旅群,324,桃園縣私立永平工商,餐飲管理科
43,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S880B0AC4C,聯合登記分發,聯登一般生,餐旅群,326,桃園縣私立育達高中,餐飲管理科
44,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S737488255,聯合登記分發,聯登一般生,餐旅群,411,台中市國立台中高農,餐飲管理科
45,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S3D5C0EE5E,聯合登記分發,聯登一般生,餐旅群,411,台中市國立台中高農,觀光事務科
46,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S45CC92E61,聯合登記分發,聯登一般生,餐旅群,434,臺中市私立嶺東高中,觀光事業科
47,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SAE48C32B3,聯合登記分發,聯登一般生,餐旅群,407,台中縣私立僑泰高中,餐飲管理科
48,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S9C07C9BDE,聯合登記分發,聯登一般生,餐旅群,402,台中縣私立僑泰高中,餐飲管理科
49,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S8FCD7B3B6,聯合登記分發,聯登一般生,餐旅群,508,彰化縣私立達德商工,餐飲管理科
50,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S7B0BD88EE,聯合登記分發,聯登一般生,餐旅群,704,臺南市私立長榮高中,觀光事業科
51,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,S911DE7E1D,聯合登記分發,聯登一般生,餐旅群,735,臺南市國立曾文家商,餐飲管理科
52,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SCA74D052D,聯合登記分發,聯登一般生,餐旅群,710,台南市國立台南家齊高級中等學校,餐飲管理科
53,國立澎湖科技大學,餐旅管理系,四技日間部,日間部四技餐旅管理系一甲,SBC0DE63A2,聯合登記分發,聯登一般生,餐旅群,807,高雄市市立三民家商,餐飲管理科
54,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SAA6BA0EB8,高中生申請入學,一般生,,220,台北市市立大理高中,普通科
55,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S0FA1939C3,高中生申請入學,一般生,,828,高雄市國立岡山高中,普通科
56,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SD7EA7BB87,繁星推甄,繁星生,電機與電子群,831,高雄縣私立中山工商,資訊科
57,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S098C262C6,技優甄審,技優生,電子類,436,台中縣私立明道高中,電子科
58,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S42118F285,技優甄審,技優生,電子類,220,台北市市立內湖高工,資訊科
59,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S45E15727B,技優甄審,技優生,電子類,220,台北縣鶯歌工商,資訊科
60,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S88ECCCE93,甄選入學,甄選一般生,電機與電子群資電類,358,台中縣私立致用高中,資訊科
61,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S42A371489,甄選入學,甄選一般生,電機與電子群資電類,326,桃園縣私立治平高中,資訊科
62,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S5A370993A,甄選入學,甄選一般生,電機與電子群資電類,330,桃園縣私立大興高級中學,資訊科
63,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SAAB07D1D4,甄選入學,甄選一般生,電機與電子群資電類,438,台中縣私立致用高中,資訊科
64,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S5DACD16E7,甄選入學,甄選一般生,電機與電子群資電類,435,臺中市私立嶺東高中,資訊科
65,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SBF1681E44,甄選入學,甄選一般生,電機與電子群資電類,320,桃園縣私立新興高中,資訊科
66,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S01A841CFB,甄選入學,甄選一般生,電機與電子群資電類,320,桃園縣私立新興高中,資訊科
67,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SF20BA8B2A,甄選入學,甄選一般生,電機與電子群資電類,116,台北市市立松山工農,電機科
68,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S3C405CCF2,甄選入學,甄選一般生,電機與電子群資電類,302,新竹縣私立義民高中,資訊科
69,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SD3E3B1A65,甄選入學,甄選一般生,電機與電子群資電類,407,臺中市私立嶺東高中,電子科
70,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S5A5CA3ED0,甄選入學,甄選一般生,電機與電子群資電類,227,新北市立樟樹國際實創高級中學,資訊科
71,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S308FEFE78,甄選入學,甄選一般生,電機與電子群資電類,238,基隆市國立基隆海事,資訊科
72,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S2AE3A0866,甄選入學,甄選一般生,電機與電子群資電類,812,高雄市市立高雄高工,電子科
73,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S208D5CC0E,甄選入學,甄選一般生,電機與電子群資電類,303,新竹縣私立內思高工,資訊科
74,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S4F805C739,甄選入學,甄選一般生,電機與電子群資電類,305,新竹縣私立內思高工,資訊科
75,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SA65128B63,甄選入學,甄選一般生,電機與電子群資電類,813,高雄市市立海青工商,資訊科
76,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S223EE581F,甄選入學,甄選一般生,電機與電子群資電類,326,桃園縣國立楊梅高中,資訊科
77,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S1E43C6F44,甄選入學,甄選一般生,電機與電子群資電類,305,新竹縣私立內思高工,資訊科
78,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S9EEAA347E,聯合登記分發,聯登一般生,動力機械群,320,桃園縣國立桃園農工,動力機械科
79,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S637188557,聯合登記分發,聯登一般生,動力機械群,826,高雄縣國立岡山農工,汽車科
80,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SFCDC58242,聯合登記分發,聯登一般生,電機與電子群資電類,251,台北市市立松山工農,資訊科
81,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SD766BD022,聯合登記分發,聯登一般生,電機與電子群資電類,108,台北市市立松山工農,綜合高中部
82,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S3D0874375,聯合登記分發,聯登一般生,電機與電子群資電類,239,台北縣鶯歌工商,資訊科
83,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SBDA31417F,聯合登記分發,聯登一般生,電機與電子群資電類,251,台北縣國立淡水商工,電子科
84,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SB5241A8EB,聯合登記分發,聯登一般生,電機與電子群資電類,251,台北縣國立淡水商工,電子科
85,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SB337EE824,聯合登記分發,聯登一般生,電機與電子群資電類,330,桃園縣私立新興高中,資訊科
86,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S5D4197158,聯合登記分發,聯登一般生,電機與電子群資電類,320,桃園縣國立桃園農工,電子科
87,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S18BA644F3,聯合登記分發,聯登一般生,電機與電子群資電類,335,桃園縣私立育達高中,資訊科
88,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S6B738A3EF,聯合登記分發,聯登一般生,電機與電子群資電類,324,桃園縣私立治平高中,電子科
89,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S628E94E53,聯合登記分發,聯登一般生,電機與電子群資電類,300,新竹市私立磐石高中,電機科
90,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S1A4F339F1,聯合登記分發,聯登一般生,電機與電子群資電類,303,新竹縣私立內思高工,資訊科
91,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S6ABE9525D,聯合登記分發,聯登一般生,電機與電子群資電類,310,新竹縣私立內思高工,資訊科
92,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S975D5C8A0,聯合登記分發,聯登一般生,電機與電子群資電類,413,台中縣國立霧峰農工,電子科
93,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S3593467D2,聯合登記分發,聯登一般生,電機與電子群資電類,433,台中縣國立沙鹿高工,資訊科
94,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S5D76B378E,聯合登記分發,聯登一般生,電機與電子群資電類,510,彰化縣國立二林工商,電子科
95,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S2ABDC9C02,聯合登記分發,聯登一般生,電機與電子群資電類,511,彰化縣國立員林崇實高級工業職業學校,資訊科
96,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S89476A3E4,聯合登記分發,聯登一般生,電機與電子群資電類,709,臺南市國立北門農工,電子科
97,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S3DA0FF5AE,聯合登記分發,聯登一般生,電機與電子群資電類,820,高雄市市立高雄高工,資訊科
98,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,SD513B7653,聯合登記分發,聯登一般生,電機與電子群資電類,807,高雄市市立高雄高工,電子科
99,國立澎湖科技大學,資訊工程系,四技日間部,日間部四技資訊工程系一甲,S8F5AFC494,聯合登記分發,聯登一般生,電機與電子群資電類,831,高雄縣私立中山工商,資訊科
100,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SA6BCD2FD4,運動績優單招,一般生,,640,雲林縣私立大成商工,水電技術科
101,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S7376C0208,甄選入學,甄選一般生,水產群,709,臺南市國立臺南海事,水產養殖科
102,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S6A2F80C3D,甄選入學,甄選一般生,水產群,852,臺南市國立臺南海事,水產養殖科
103,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S262A36E92,甄選入學,甄選一般生,水產群,507,彰化縣國立鹿港高中,水產養殖科
104,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S30660A53D,甄選入學,甄選一般生,水產群,653,雲林縣國立北港農工,電機科
105,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S4E8E2FFB5,甄選入學,甄選一般生,農業群,239,台北市私立開平餐飲職業學校,餐飲管理科
106,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S00550631A,甄選入學,甄選一般生,農業群,235,台北縣國立淡水商工,園藝科
107,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SD0D41B088,甄選入學,甄選一般生,農業群,115,台北市市立松山工農,園藝科
108,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S4E04113E4,甄選入學,甄選一般生,農業群,304,苗栗縣國立大湖農工,園藝科
109,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S51D9D9F29,甄選入學,甄選一般生,農業群,524,彰化縣國立員林農工,園藝科
110,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SCD8915C09,甄選入學,甄選一般生,農業群,508,彰化縣國立員林農工,休閒農業科
111,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S17D0C91BD,甄選入學,甄選一般生,農業群,237,台北縣鶯歌工商,陶瓷工程科
112,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S552AAA835,甄選入學,甄選一般生,農業群,646,雲林縣國立虎尾農工,畜產保健科
113,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S6DE8DF2D8,聯合登記分發,聯登一般生,農業群,338,桃園縣國立桃園農工,電機科
114,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S2AC67D001,聯合登記分發,聯登一般生,農業群,428,台中市國立台中高農,森林科
115,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S2B3505A1E,聯合登記分發,聯登一般生,水產群,328,桃園縣國立龍潭高級中學,造園科
116,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SC21130999,聯合登記分發,聯登一般生,水產群,508,彰化縣國立鹿港高中,水產養殖科
117,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,SC310744A4,聯合登記分發,聯登一般生,水產群,807,南投縣私立普台高級中學,普通科
118,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S06BCF15A0,聯合登記分發,聯登一般生,水產群,812,高雄市市立中正高工,機械科
119,國立澎湖科技大學,水產養殖系,四技日間部,日間部四技水產養殖系一甲,S7A1AE2C5F,聯合登記分發,聯登一般生,水產群,880,澎湖縣國立澎湖海事高職,水產養殖科
120,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S8574DFEE0,身心障礙甄試,一般生,,334,桃園縣私立新興高中,商業經營科
121,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S49B4A6EA5,繁星推甄,繁星生,商管群,114,台北市市立松山家商,商業經營科
122,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,SF10EEC153,甄選入學,甄選一般生,商管群,326,桃園縣私立治平高中,資料處理科
123,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S2A7FC77F0,甄選入學,甄選一般生,商管群,326,桃園縣私立治平高中,資料處理科
124,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S56DE9A5DE,甄選入學,甄選一般生,商管群,330,桃園縣私立新興高中,資料處理科
125,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,SF79D5CCAC,甄選入學,甄選一般生,商管群,712,臺南市國立新化高工,資料處理科
126,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S9A3D9F536,甄選入學,甄選一般生,商管群,338,桃園縣私立新興高中,國際貿易科
127,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,SF94639A12,甄選入學,甄選一般生,商管群,831,高雄市立楠梓高中,綜合高中部
128,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,SE287FD325,甄選入學,甄選一般生,商管群,520,彰化縣國立員林家商,國際貿易科
129,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S8232C0E07,甄選入學,甄選一般生,商管群,427,南投縣國立暨南國際大學附屬高級中學,商業經營科
130,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S9ADF6935C,甄選入學,甄選一般生,商管群,327,桃園縣私立治平高中,應用英語科
131,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,SBA0E94027,甄選入學,甄選一般生,商管群,300,新北市立光復高級中學,資料處理科
132,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,SBD5895727,甄選入學,甄選一般生,商管群,427,臺中市私立新民高中,國際貿易科
133,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S56F1DB256,甄選入學,甄選一般生,商管群,338,桃園縣私立新興高中,國際貿易科
134,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S25E9D5CE3,甄選入學,甄選一般生,商管群,961,台東縣國立台東高商,商業經營科
135,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,SC590A373C,甄選入學,甄選一般生,商管群,265,宜蘭縣國立羅東高商,國際貿易科
136,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,SCACF06760,甄選入學,甄選一般生,商管群,236,台北縣鶯歌工商,資料處理科
137,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,S3D7EBE083,甄選入學,甄選一般生,商管群,542,南投縣國立南投高商,資料處理科
138,國立澎湖科技大學,航運管理系,四技日間部,日間部四技航運管理系一甲,SB0F455BFA,甄選入學,甄選一般生,商管群,542,南投縣國立南投高商,國際貿易科
